PMID	Year	Title	MeshTerm
22105560	2013	Reply: To PMID 22105560.	Carcinoma, Hepatocellular,Female,Gene Expression Profiling,Genetic Predisposition to Disease,Humans,Liver Neoplasms,Male
26652551	2015	Reply: To PMID 25825199.	Carcinoma,Female,Humans,Lung Neoplasms,Male,Pneumonectomy
25209193	2015	Reply: To PMID 24954365.	Carcinoma, Hepatocellular,Female,Humans,Liver Neoplasms,Liver Transplantation,Male,Tissue and Organ Procurement
25218126	2015	Reply: To PMID 24949545.	Adenocarcinoma, Mucinous,Female,Humans,Neoplasm Recurrence, Local,Neoplasms, Glandular and Epithelial,Nomograms,Ovarian Neoplasms,Urinary Bladder
25230557	2014	Author's reply: To PMID 24660564.	Hamartoma,Humans,Lung,Lung Neoplasms,Male
24793030	2015	Reply: To PMID 24316103.	CD4-Positive T-Lymphocytes,Humans,Intestinal Neoplasms,Lymphoma, T-Cell,Male
25041048	2014	Reply: To PMID 24128270.	Echocardiography,Female,Fibroma,Heart Neoplasms,Heart Valve Diseases,Humans,Male,Pulmonary Valve
25041780	2014	Author reply: To PMID 24621289.	Adrenal Gland Neoplasms,Female,Humans,Lymphangioma
25044031	2015	Reply: To PMID 24002724.	Carcinoma, Hepatocellular,Female,Humans,Liver Neoplasms,Male,Mass Screening,Ultrasonography
24700511	2014	Reply: To PMID 24700511.	Animals,Anti-N-Methyl-D-Aspartate Receptor Encephalitis,Demyelinating Diseases,Female,Humans,Male
24916303	2014	Reply: To PMID 24734314.	Carcinoma, Hepatocellular,Catheter Ablation,Female,Humans,Liver Neoplasms,Male
24080223	2013	Reply: To PMID 24080222.	Antigens, Neoplasm,Decision Support Techniques,Humans,Magnetic Resonance Imaging,Male,Prostatic Neoplasms
24088482	2013	Reply: To PMID 22513274.	Catheters,Drainage,Female,Humans,Insufflation,Male,Palliative Care,Pleural Effusion, Malignant,Pleurodesis,Talc
24094656	2013	Reply: To PMID 24094653.	Carcinoma, Embryonal,Humans,Lymph Node Excision,Male,Neoplasms, Germ Cell and Embryonal,Testicular Neoplasms
24094657	2013	Reply: To PMID 24094657.	Humans,Male,Prostatectomy,Prostatic Neoplasms
23759017	2013	Reply: To PMID 23469933.	Humans,Laser Therapy,Lasers, Solid-State,Male,Prostate,Prostatectomy,Prostatic Hyperplasia,Quality of Life
24182492	2013	Reply: To PMID 22835555.	Adenocarcinoma, Bronchiolo-Alveolar,Female,Humans,Lung Neoplasms,Lung Transplantation,Male,Registries
24182494	2013	Reply: To PMID 23063200.	Adenocarcinoma,Carcinoma, Squamous Cell,Esophageal Neoplasms,Female,Humans,Male
24182498	2013	Reply: To PMID 22130269.	Female,Humans,Lung Neoplasms,Male,Pneumonectomy,Thoracic Surgery, Video-Assisted
24182496	2013	Reply: To PMID 23352294.	Bronchi,Bronchoscopy,Carcinoma, Non-Small-Cell Lung,Cryopreservation,Female,Humans,Lung Neoplasms,Male
23856739	2013	Reply: To PMID 23695870.	Colorectal Neoplasms,Female,Humans,Male,Mass Screening,Occult Blood
26522552	2015	Reply: To PMID 25841862.	Carcinoma, Non-Small-Cell Lung,Humans,Lung Neoplasms,Lymph Node Excision,Pneumonectomy,Thoracic Surgery, Video-Assisted
26522556	2015	Reply: To PMID 25661580.	Carcinoma, Non-Small-Cell Lung,Female,Humans,Lung Neoplasms,Male,Radiosurgery,Thoracic Surgery, Video-Assisted
24216467	2014	Reply: To PMID 24216467.	Adenoma,Colorectal Neoplasms,Humans
24735340	2014	Reply: To PMID 24033868.	Early Detection of Cancer,Female,Humans,Lung Neoplasms,Male,Mass Screening,Pulmonary Disease, Chronic Obstructive
26428464	2015	Reply: To PMID 25823770.	Biopsy,Colonoscopy,Colorectal Neoplasms,Early Detection of Cancer,Female,Humans,Inflammatory Bowel Diseases,Male,Mass Screening,Population Surveillance
26431760	2015	Reply: To PMID 26276574.	Humans,Male,Postoperative Complications,Prostatectomy,Prostatic Hyperplasia,Risk Assessment
26433111	2015	Reply: To PMID 25747273.	Carcinoma, Hepatocellular,Cytokine-Induced Killer Cells,Female,Humans,Immunotherapy, Adoptive,Liver Neoplasms,Male
25836985	2015	Reply: To PMID 25836985.	Aging,Body Mass Index,Carcinoma, Hepatocellular,Female,Humans,Liver Neoplasms,Male,Obesity
26434462	2015	Reply: To PMID 25443005.	Adenocarcinoma,Carcinoma, Non-Small-Cell Lung,Female,Humans,Male,Neoplasms, Multiple Primary,Pneumonectomy
26434466	2015	Reply: To PMID 25534527.	Humans,Mesothelioma,Pleura,Pleural Neoplasms,Pneumonectomy
26434476	2015	Reply: To PMID 25633461.	Adenocarcinoma,Female,Humans,Lung Neoplasms,Male,Tumor Burden
26434479	2015	Reply: To PMID 24650587.	Esophageal Neoplasms,Esophagectomy,Female,Humans,Laparoscopy,Male,Thoracoscopy
24161348	2014	Reply: To PMID 24035775.	Barrett Esophagus,Female,Humans,Male,Sleep Apnea, Obstructive
24425147	2014	Reply: To PMID 24114809.	Carcinoma, Hepatocellular,Humans,Lipase,Liver Neoplasms,Membrane Proteins
23823514	2013	Author reply: To PMID 23062649.	Ciliary Body,Humans,Lymphangiogenesis,Lymphatic Vessels,Melanoma,Uveal Neoplasms
23823528	2013	Author reply: To PMID 22521086.	Biomarkers, Tumor,Female,Gene Expression Profiling,Humans,Male,Melanoma,Uveal Neoplasms
23729376	2014	Reply: To PMID 21674558.	Animals,Carcinoma, Hepatocellular,Female,Humans,Interleukins,Liver Neoplasms,Male,STAT3 Transcription Factor
23841773	2013	Author reply: To PMID 22372920.	Antibodies, Monoclonal, Humanized,Antineoplastic Combined Chemotherapy Protocols,Clinical Trials as Topic,Colorectal Neoplasms,Compassionate Use Trials,Female,Humans,Male
25438951	2014	Reply: To PMID 24924279.	Anisometropia,Female,Humans,Male,Neurofibromatosis 1,Optic Nerve Glioma
25086195	2015	Reply: To PMID 24161347.	Celiac Disease,Congenital Abnormalities,Female,Humans,Male,Pregnancy
25158926	2015	Reply: To PMID 25158926.	Celiac Disease,Diet,Humans,Physicians,Professional Competence
24095974	2014	Reply: To PMID 24095974.	Biomarkers,Carcinoma, Hepatocellular,Female,Humans,Liver Cirrhosis,Liver Neoplasms,Male,alpha-Fetoproteins
24027047	2015	Reply: To PMID 24027047.	Animals,Carcinogenesis,Humans,Liver Neoplasms, Experimental,Membrane Glycoproteins,Neoplastic Stem Cells
24794765	2014	Author's reply: To PMID 24794765.	Breast Neoplasms,Early Detection of Cancer,Female,Health Services Misuse,Humans,Mammography,Physician-Patient Relations,Truth Disclosure
25193218	2014	Reply: To PMID 23915584.	Carcinoid Tumor,Female,Humans,Lung Neoplasms,Male,Neoplasm Recurrence, Local
25203201	2015	Reply: To PMID 24425422.	Carcinoma, Hepatocellular,Diabetes Complications,Dyslipidemias,Female,Humans,Liver Neoplasms,Male
23883255	2013	Reply: To PMID 22268181.	Angiomyolipoma,Carcinoma, Renal Cell,Female,Humans,Kidney Neoplasms,Male,Tomography, X-Ray Computed
23883257	2013	Reply: To PMID 22915433.	Breast Neoplasms,Carcinoma, Ductal, Breast,Female,Humans,Ultrasonography, Mammary
23883259	2013	Reply: To PMID 22997395.	Humans,Lung Diseases,Lung Neoplasms,Tomography, X-Ray Computed
23883263	2013	Reply: To PMID 23169717.	Antineoplastic Agents,Female,Humans,Intestinal Perforation,Male,Molecular Targeted Therapy,Neoplasms,Pneumatosis Cystoides Intestinalis,Tomography, X-Ray Computed
25479138	2015	Reply: To PMID 25479138.	Esophageal Achalasia,Genes, Neoplasm,Hepatitis, Alcoholic,Humans,Liver Transplantation,Nitric Oxide Synthase Type I,Non-alcoholic Fatty Liver Disease,Pancreatic Neoplasms
26008861	2015	Reply: To PMID 25314329.	Adenocarcinoma,Cyst Fluid,Female,Humans,Male,Pancreatic Cyst,Pancreatic Neoplasms
26194294	2015	Reply: To PMID 26194291.	Humans,Lower Urinary Tract Symptoms,Male,Metabolic Syndrome,Prostatic Hyperplasia,Prostatitis,Transurethral Resection of Prostate
25929540	2015	Reply: To PMID 25632807.	Antibodies,Celiac Disease,Female,Gliadin,Humans,Immunoassay,Male
26199171	2015	Reply: To PMID 26199169.	Female,Humans,Kidney,Kidney Neoplasms,Male,Nephrectomy,Warm Ischemia
26002706	2015	Reply: To PMID 24563499.	Dupuytren Contracture,Humans
26002706	2015	Reply: To PMID 25618867.	Dupuytren Contracture,Humans
26200291	2015	Reply: To PMID 25546556.	Carcinoma, Non-Small-Cell Lung,Female,Humans,Lung Neoplasms,Male,Quinazolines
26210004	2015	Reply: To PMID 26210002.	Erectile Dysfunction,Humans,Male,Nutrition Surveys,Prostatic Hyperplasia
23896454	2013	Author's reply: To PMID 22824608.	Bleomycin,Eyelid Neoplasms,Female,Hemangioma, Capillary,Humans,Neoplastic Syndromes, Hereditary
24063937	2013	Reply: To PMID 24063935.	Humans,Laparoscopy,Male,Obesity, Abdominal,Operative Time,Prostatectomy,Prostatic Neoplasms
23706454	2013	Reply: To PMID 22551848.	Carcinoma, Squamous Cell,Esophageal Neoplasms,Female,Humans,Male
23706455	2013	Reply: To PMID 23098941.	Esophageal Neoplasms,Esophagectomy,Humans
23706458	2013	Reply: To PMID 22981254.	Adrenocorticotropic Hormone,Bronchial Neoplasms,Carcinoid Tumor,Cushing Syndrome,Early Diagnosis,Female,Humans,Male,Neoplasm Staging
23891923	2013	Reply: To PMID 23333661.	Carcinoma, Hepatocellular,Female,Humans,Liver Neoplasms,Male
23960003	2014	Reply: To PMID 23389758.	Carcinoma, Hepatocellular,Female,Hepatitis C,Humans,Interferon-alpha,Liver Neoplasms,Male,Polyethylene Glycols,Ribavirin
25150788	2014	Reply: To PMID 24677195.	Antiviral Agents,Carcinoma, Hepatocellular,Early Detection of Cancer,Hepatitis C,Humans,Liver Cirrhosis,Liver Neoplasms,Markov Chains
25156516	2014	Reply: To PMID 25156513.	Female,Humans,Male,Postoperative Complications,Urologic Neoplasms,Venous Thromboembolism
24243580	2014	Reply: To PMID 23798472.	Anticonvulsants,Brain,Epilepsy,Female,Humans,Male,Quality of Life,Sirolimus,Tuberous Sclerosis
24261401	2013	Reply: To PMID 22451578.	Breast Neoplasms,Diagnostic Imaging,Female,Humans,Sarcoma
24261403	2013	Reply: To PMID 23436835.	Diagnostic Imaging,Humans,Image Enhancement,Neoplasms, Unknown Primary,Pathology, Molecular
24268857	2014	Author reply: To PMID 23582989.	Antineoplastic Combined Chemotherapy Protocols,Carcinoma, Adenoid Cystic,Cisplatin,Doxorubicin,Eye Neoplasms,Female,Humans,Lacrimal Apparatus Diseases,Male
22314824	2012	Reply: To PMID 22314824.	Carcinoma in Situ,Carcinoma, Squamous Cell,Conjunctival Neoplasms,Corneal Diseases,Eye Neoplasms,Female,Humans,Male
26067558	2015	Reply: To PMID 25631867.	Decompression, Surgical,Female,Humans,Male,Odontogenic Cysts
23197442	2013	Reply: To PMID 22532055.	Carcinoma, Hepatocellular,Female,HIV Infections,Humans,Liver Cirrhosis,Liver Neoplasms,Male
25081053	2014	Author reply: To PMID 22757980.	Antineoplastic Combined Chemotherapy Protocols,Female,Gastrointestinal Tract,Humans,Induction Chemotherapy,Leukemia, Myeloid, Acute,Male
25097900	2014	Author reply: To PMID 24251310.	Carcinoid Tumor,Carcinoma, Bronchogenic,Female,Fluorodeoxyglucose F18,Humans,Lung Neoplasms,Male,Multimodal Imaging,Positron-Emission Tomography,Tomography, X-Ray Computed
26231604	2015	Reply: To PMID 25616752.	Bile Duct Neoplasms,Bile Ducts, Intrahepatic,Cholangiocarcinoma,Cholangiopancreatography, Endoscopic Retrograde,Cholestasis,Female,Humans,Male,Microscopy, Confocal
25805376	2015	Reply: To PMID 25805375.	Adenocarcinoma,Asymptomatic Diseases,Carcinoma, Pancreatic Ductal,Humans,Neoplasms, Cystic, Mucinous, and Serous,Pancreatic Cyst,Pancreatic Neoplasms,Pancreatic Pseudocyst
26234870	2015	Reply: To PMID 25530090.	Checklist,Female,Humans,Lung Neoplasms,Lymph Node Excision,Male,Medical Audit,Specimen Handling
26234871	2015	Reply: To PMID 24726598.	Female,Humans,Lung Neoplasms,Male,Mesothelioma,Pleural Neoplasms,Pneumonectomy
23275590	2013	Reply: To PMID 21330401.	Antibodies, Monoclonal,Brain Neoplasms,Diffusion Magnetic Resonance Imaging,Female,Glioblastoma,Humans,Male,Neoplasm Recurrence, Local
23140611	2013	Reply: To PMID 23140611.	Humans,Male,Neurofibromatosis 1,Spinal Cord Neoplasms
23542047	2013	Reply: To PMID 23317766.	Early Detection of Cancer,Humans,Lung Neoplasms,Radiation Dosage,Tomography, X-Ray Computed
23609480	2013	Reply: To PMID 23055147.	Cholangiocarcinoma,Diabetes Mellitus,Female,Humans,Liver Neoplasms,Male,Metformin
23582997	2013	Reply: To PMID 23218691.	Female,Humans,Macular Edema,Male,Retinal Detachment,Subretinal Fluid,Waldenstrom Macroglobulinemia
23589932	2013	Author's reply: To PMID 22976610.	Cranial Fontanelles,Dermoid Cyst,Humans,Male,Neuroimaging
24218307	2014	Comment on PMID 24218307.	Abdominal Pain,Adenoma,Colonic Neoplasms,Colonoscopy,Female,Humans,Insufflation,Male,Water
24473907	2014	Comment on PMID 24473907.	Adenoma,Colonoscopy,Colorectal Neoplasms,Early Detection of Cancer,Female,Humans,Male
24254386	2014	Comment on PMID 24254386.	Adenoma,Carcinoma,Colonic Polyps,Colorectal Neoplasms,Female,Humans,Male,Neoplasms, Multiple Primary
24500977	2014	Comment on PMID 24500977.	Adenoma,Colonic Neoplasms,Colonoscopy,Female,Humans,Male,Medical Records Systems, Computerized,Quality Assurance, Health Care
24837035	2014	Reply: To PMID 24565686.	Blood Transfusion, Autologous,Female,Humans,Leiomyoma,Operative Blood Salvage,Uterine Myomectomy,Uterine Neoplasms
24619577	2014	Reply: To PMID 23908019.	Carcinoma, Hepatocellular,Esophageal and Gastric Varices,Female,Gastrointestinal Hemorrhage,Humans,Liver Neoplasms,Male
23628277	2013	Reply: To PMID 23063971.	Chemoprevention,Colorectal Neoplasms,Humans,Hydroxymethylglutaryl-CoA Reductase Inhibitors
23579172	2013	Author's reply: To PMID 23148932.	Female,Gastrectomy,Humans,Lymph Node Excision,Male,Neoplasm Recurrence, Local,Peritoneal Neoplasms,Stomach Neoplasms
25468116	2014	Reply: To PMID 24286635.	Carcinoma, Non-Small-Cell Lung,Female,Humans,Lung Neoplasms,Male
25468117	2014	Reply: To PMID 24726603.	Carcinoma, Non-Small-Cell Lung,Female,Humans,Lung Neoplasms,Lymph Nodes,Male,Pneumonectomy,Robotics
25475226	2014	Reply: To PMID 25440987.	Erectile Dysfunction,Humans,Male,Penis,Prostatic Neoplasms,Radiotherapy, Conformal
24443059	2015	Reply: To PMID 24443059.	Biliary Tract Neoplasms,Carcinoma, Hepatocellular,Female,Humans,Liver Neoplasms,Male
26354657	2015	Reply: To PMID 25534527.	Humans,Mesothelioma,Pleura,Pleural Neoplasms,Pneumonectomy
26371800	2015	Reply: To PMID 25338667.	Anti-N-Methyl-D-Aspartate Receptor Encephalitis,Humans,Male,Mental Disorders
25623370	2015	Reply: To PMID 25460521.	Female,Humans,Hysterectomy,Laparoscopy,Leiomyoma,Leiomyosarcoma,Uterine Myomectomy,Uterine Neoplasms
25623680	2015	Reply: To PMID 25623680.	5-alpha Reductase Inhibitors,Azasteroids,Dutasteride,Humans,Male,Prostatic Neoplasms
25623683	2015	Reply: To PMID 25623683.	Cost of Illness,Hospice Care,Humans,Male,Patient Admission,Prostatic Neoplasms
25623690	2015	Reply: To PMID 25623690.	Cystectomy,Female,Humans,Laparoscopy,Male,Urinary Bladder Neoplasms,Urinary Reservoirs, Continent
25623695	2015	Reply: To PMID 25623694.	Cystectomy,Cystoscopy,Electrocoagulation,Humans,Urinary Bladder Neoplasms
25623697	2015	Reply: To PMID 25623697.	Humans,Male,Marijuana Smoking,Smoking,Urinary Bladder Neoplasms
25623703	2015	Reply: To PMID 25623703.	Androgen Antagonists,Health Status,Humans,Male,Patient Satisfaction,Prostatectomy,Prostatic Neoplasms,Quality of Life,Radiotherapy, Intensity-Modulated
25623706	2015	Reply: To PMID 25623706.	African Americans,HIV Infections,Humans,Male,Prostatic Neoplasms
25623709	2015	Reply: To PMID 25623709.	Humans,Image-Guided Biopsy,Magnetic Resonance Imaging,Male,Prostatic Neoplasms,Watchful Waiting
25623712	2015	Reply: To PMID 25623712.	Humans,Male,Prostatic Neoplasms, Castration-Resistant
25637847	2015	Reply: To PMID 25434835.	Antineoplastic Agents,Child Development,Developmental Disabilities,Female,Humans,Language Development,Male,Motor Skills,Neoplasms,Pregnancy,Pregnancy Complications, Neoplastic,Premature Birth,Prenatal Exposure Delayed Effects
24660743	2014	Reply: To PMID 23971446.	Breast Neoplasms,Female,Humans,Liver Neoplasms,Lung Neoplasms,Male,Mediastinal Neoplasms,Thyroid Neoplasms,Tomography, X-Ray Computed
24660745	2014	Reply: To PMID 23971456.	Cataract,Female,Head and Neck Neoplasms,Humans,Male,Tomography, X-Ray Computed
24680451	2014	Reply: To PMID 24680451.	Angiography,Carcinoma, Transitional Cell,Cystectomy,Female,Humans,Indocyanine Green,Lymphography,Male,Urinary Bladder Neoplasms
23583217	2013	Reply: To PMID 23583217.	Carcinogenesis,Carcinoma in Situ,Carcinoma, Ovarian Epithelial,Fallopian Tube Neoplasms,Female,Humans,Neoplasms, Glandular and Epithelial,Ovarian Neoplasms
23668281	2013	Author reply: To PMID 21981464.	Adenocarcinoma,Antibodies, Monoclonal, Humanized,Breast Neoplasms,Cardiomyopathies,Female,Heart Function Tests,Humans,Insurance, Pharmaceutical Services,National Health Programs
23696491	2013	Reply: To PMID 22991257.	Carcinoma, Hepatocellular,Diabetes Mellitus, Type 2,Female,Hepatitis C, Chronic,Humans,Liver Neoplasms,Male
23916085	2013	Author reply: To PMID 22704834.	Antineoplastic Agents,Carcinoma in Situ,Conjunctival Neoplasms,Corneal Diseases,Eye Neoplasms,Female,Humans,Interferon-alpha,Male,Tretinoin
23811244	2013	Reply: To PMID 23270865.	Clinical Medicine,Colorectal Neoplasms,Female,Humans,Male,Medical History Taking,Mental Recall,Polyps
25303107	2015	Reply: To PMID 24664962.	Arthritis, Rheumatoid,Carcinoma, Non-Small-Cell Lung,Female,Humans,Lung Neoplasms,Raynaud Disease,Weight Loss
25306472	2014	Reply: To PMID 25306472.	Female,Humans,Imaging, Three-Dimensional,Kidney Neoplasms,Laparoscopy,Male,Multimodal Imaging,Nephrectomy,Renal Artery
25308283	2015	Reply: To PMID 24497320.	Bile,Bile Duct Neoplasms,Bile Ducts, Intrahepatic,Cholangiocarcinoma,Female,Humans,Male,MicroRNAs
25312551	2014	Reply: To PMID 25312549.	Creatinine,Female,Glomerular Filtration Rate,Humans,Kidney Neoplasms,Magnetic Resonance Spectroscopy,Male,Nephrectomy
25330322	2015	Reply: To PMID 24277679.	Blood Platelets,Carcinoma, Hepatocellular,Female,Hepatectomy,Humans,Liver Neoplasms,Liver Regeneration,Male,Serotonin
25817111	2015	Reply: To PMID 25817111.	Carcinoma in Situ,Carcinoma, Transitional Cell,Humans,Male,Urinary Bladder Neoplasms,Urinary Reservoirs, Continent,Urodynamics
25819619	2015	Reply: To PMID 25819619.	Carcinoma, Squamous Cell,Humans,Male,Penile Neoplasms
25820796	2015	Reply: To PMID 24954365.	Carcinoma, Hepatocellular,Female,Humans,Liver Neoplasms,Liver Transplantation,Male,Tissue and Organ Procurement
25824349	2015	Reply: To PMID 24890443.	Adenoma,Colonic Neoplasms,Colonoscopy,Conscious Sedation,Female,Humans,Insufflation,Male,Pain
25549238	2015	Reply: To PMID 25549238.	Hepatitis B,Hepatitis B virus,Humans,Liver Diseases,Liver Neoplasms
25510915	2015	Reply: To PMID 24947955.	Catheters, Indwelling,Drainage,Humans,Pleural Effusion, Malignant,Pleurodesis
24238207	2013	Reply: To PMID 23876864.	Brain Neoplasms,Central Nervous System Cysts,Female,Humans,Male,Pineal Gland,Pinealoma,Retinal Neoplasms,Retinoblastoma
24630209	2014	Reply: To PMID 24211864.	Corneal Diseases,Humans,Xeroderma Pigmentosum
25045002	2015	Reply: To PMID 25045002.	Biliary Tract,Carcinoma, Hepatocellular,Chemoembolization, Therapeutic,Female,Hepatic Artery,Humans,Liver Neoplasms,Liver Transplantation,Male
25530369	2015	Reply: To PMID 25440819.	Early Detection of Cancer,Humans,Male,Preventive Health Services,Primary Health Care,Prostatic Neoplasms,Urology
25530377	2015	Reply: To PMID 25440986.	Humans,Magnetic Resonance Imaging,Male,Prostatic Neoplasms,Watchful Waiting
25530379	2015	Reply: To PMID 25530379.	Humans,Male,Prostate-Specific Antigen,Prostatic Neoplasms
25530593	2015	Reply: To PMID 25460836.	Female,Humans,Hysterectomy,Laparoscopy,Leiomyosarcoma,Uterine Neoplasms
25541353	2015	Reply: To PMID 25196160.	Carcinoma,Dilatation and Curettage,Endometrial Neoplasms,Female,Fertility Preservation,Humans,Hysteroscopy,Medroxyprogesterone Acetate,Neoplasm Recurrence, Local,Pregnancy
25546821	2015	Reply: To PMID 24277679.	Blood Platelets,Carcinoma, Hepatocellular,Female,Hepatectomy,Humans,Liver Neoplasms,Liver Regeneration,Male,Serotonin
25543259	2015	Reply: To PMID 25103986.	Breast Neoplasms,Early Detection of Cancer,Female,Humans,Mammography
25555977	2015	Reply: To PMID 24928676.	Humans,Lung Neoplasms,Metastasectomy,Thoracic Surgery, Video-Assisted
24957400	2015	Reply: To PMID 24957400.	Algorithms,Colorectal Neoplasms, Hereditary Nonpolyposis,Cost-Benefit Analysis,Genetic Testing,Humans,Mass Screening
25769781	2015	Reply: To PMID 25769779.	Carcinoma, Squamous Cell,Humans,Male,Penile Neoplasms
25417631	2014	Author's reply: To PMID 25003676.	Antioxidants,Bile Duct Neoplasms,Bile Ducts, Intrahepatic,Biomarkers, Tumor,CA-19-9 Antigen,Carcinoembryonic Antigen,Cholangiocarcinoma,Cholestasis,Female,Humans,Male,Pancreatic Neoplasms,Vascular Endothelial Growth Factor Receptor-3
25417633	2014	Author's reply: To PMID 25003678.	Adenoma,Colonic Polyps,Female,Humans,Male,Rectal Neoplasms,Sigmoid Neoplasms
25417634	2014	Author's reply: To PMID 25003678.	Adenoma,Colonic Polyps,Female,Humans,Male,Rectal Neoplasms,Sigmoid Neoplasms
25417635	2014	Author's reply: To PMID 25003678.	Adenoma,Colonic Polyps,Female,Humans,Male,Rectal Neoplasms,Sigmoid Neoplasms
24161349	2015	Reply: To PMID 24161349.	Female,Humans,Inflammatory Bowel Diseases,Male,Neoplasms,Vitamin D,Vitamin D Deficiency
25580000	2015	Reply: To PMID 24632398.	Endometrium,Female,Humans,Hysteroscopy,Leiomyoma,Polyps,Pregnancy,Uterine Hemorrhage,Uterine Neoplasms
24528821	2014	Author reply: To PMID 23279053.	Brain Neoplasms,Female,Humans,Male,Medulloblastoma
24529583	2014	Reply: To PMID 24529583.	Carcinoma, Renal Cell,Female,Humans,Kidney,Kidney Neoplasms,Male
24530817	2014	Reply: To PMID 24316272.	Female,Humans,Pregnancy,Pregnancy Complications, Neoplastic
24295215	2014	Author's reply: To PMID 23705905.	Humans,Multiple Myeloma,Renal Insufficiency
22944732	2013	Reply: To PMID 22610009.	Celiac Disease,Female,Humans,Male,Patient Compliance
23042233	2013	Reply: To PMID 22581550.	Clinical Trials as Topic,Humans,Myasthenia Gravis,Research Design
24753142	2015	Reply: To PMID 24691943.	Carcinoma, Hepatocellular,Catheter Ablation,Female,Humans,Liver Neoplasms,Male,Radiotherapy,Yttrium Radioisotopes
24740685	2014	Reply: To PMID 24375753.	Animals,Female,Humans,Learning Disorders,Male,Neurofibromatosis 1,Vision Disorders
24753044	2014	Reply: To PMID 23907815.	Carcinoma, Hepatocellular,Female,Hepatitis B, Chronic,Humans,Liver Neoplasms,Male,Polymorphism, Single Nucleotide,Telomere
24768012	2014	Reply: To PMID 24768012.	Health Care Costs,Humans,Male,Operative Time,Prostatectomy,Prostatic Neoplasms
23180427	2014	Reply: To PMID 22411755.	Female,Humans,Lung Neoplasms,Lymph Node Excision,Male,Pneumonectomy,Thoracic Surgery, Video-Assisted,Thoracotomy
26179256	2015	Reply: To PMID 25472885.	Female,Humans,Male,Medicare,Neoplasms,Stroke
26189141	2015	Reply: To PMID 26189139.	Humans,Male,Naphthalenes,Piperazines,Prostatic Hyperplasia,Urinary Bladder, Overactive,Urination
26189138	2015	Reply: To PMID 26189132.	Humans,Male,Prostatic Hyperplasia,Transurethral Resection of Prostate,Urinary Bladder Neck Obstruction
26189334	2015	Reply: To PMID 26189330.	Carcinoma, Renal Cell,Female,Humans,Kidney,Kidney Neoplasms,Male,Nephrectomy,Recovery of Function
22815246	2013	Reply: To PMID 21994151.	Cholangitis, Sclerosing,Female,Hepatitis, Autoimmune,Humans,Liver Cirrhosis, Biliary,Male,Neoplasms
25254540	2014	Author's reply: To PMID 25141313.	Angiodysplasia,Capsule Endoscopy,Female,Gastrointestinal Hemorrhage,Gastrointestinal Neoplasms,Humans,Male,Peptic Ulcer,Tomography, X-Ray Computed
25811214	2015	Reply: To PMID 22588434.	Fasting,Female,Humans,Islam,Male,Neoplasms,Religion and Psychology
